Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAU,Almaden Minerals Ltd. Common Shares,$0.35,-0.005,-1.408%,48027493.00,Canada,2015,714804,,
ACU,Acme United Corporation. Common Stock,$34.91,1.24,3.683%,124268673.00,United States,1988,7183,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$2.89,-0.16,-5.246%,63822919.00,United States,,787536,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.87,-0.01,-0.101%,141881250.00,United States,2021,1663,,
ADRT,Ault Disruptive Technologies Corporation Common Stock,$9.94,0.00,0.00%,142887500.00,,2022,13989,,
AE,Adams Resources & Energy Inc. Common Stock,$34.99,0.23,0.662%,152831631.00,United States,,9328,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$6.81,0.12,1.794%,345619608.00,United States,,39305,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.84,0.12,16.667%,31868908.00,,2018,116394,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.98,0.0565,6.118%,38896212.00,United States,,182417,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$17.96,0.76,4.419%,53400755.00,United States,2014,4989,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$0.895,-0.0038,-0.423%,28754565.00,United States,,122445,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.72,-0.0116,-1.586%,16733043.00,China,,134184,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.42,-0.0333,-7.346%,95394468.00,United States,,1059194,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.35,0.00,0.00%,13789800.00,United States,,951,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.46,0.06,1.364%,58601684.00,Canada,,144940,,
AREN,The Arena Group Holdings Inc. Common Stock,$8.82,-0.80,-8.316%,152892936.00,,,269860,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.31,0.80,17.738%,163160853.00,United States,,43412,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.969,0.005,0.519%,99073671.00,Canada,,407886,,
ASXC,Asensus Surgical Inc. Common Stock,$0.713,0.0821,13.013%,168559146.00,United States,,20293348,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$5.09,-0.15,-2.863%,112136965.00,United States,,100151,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.57,0.0012,0.211%,92798629.00,United States,,845269,Basic Industries,Metal Mining
AWX,Avalon Holdings Corporation Common Stock,$3.62,0.15,4.323%,14115940.00,United States,,1919,Public Utilities,Environmental Services
